image_path,evaluation
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-105 (591).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-101 (539).JPG,Incorrect
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-100 (117).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-100 (770).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-100 (76).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-100 (118).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-102 (925).JPG,Incorrect
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/DSCF0894.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (992).JPG,Incorrect
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-104 (256).JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/DSCF0242.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/DSCF0241.JPG,Correct
/srv/shared_leopard_toad/2023/Cameras - AI Data/5Z/5z-100 (389).JPG,Correct
