epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7994,0.18595,0.38155,0.05487,0.97564,0.70627,0.82702,0.58882,0.38044,0.91917,0.11277,0.00017148,0.00017148,0.00017148
2,46.5579,0.21902,0.42599,0.07804,0.88755,0.57004,0.6098,0.41944,0.40896,1.09544,0.1222,0.000345461,0.000345461,0.000345461
3,58.5594,0.20263,0.38401,0.08444,0.89152,0.62599,0.64563,0.44445,0.34971,1.13775,0.1046,0.000507181,0.000507181,0.000507181
4,70.5249,0.26374,0.49821,0.12464,0.78143,0.46065,0.49806,0.33519,0.43518,1.52173,0.13639,0.00065664,0.00065664,0.00065664
5,82.0824,0.27703,0.62074,0.10222,0.85209,0.55589,0.68188,0.4761,0.34485,1.23019,0.10855,0.000793838,0.000793838,0.000793838
6,93.7851,0.22351,0.47405,0.093,0.86437,0.53767,0.56585,0.37655,0.38465,1.14814,0.1232,0.000918776,0.000918776,0.000918776
7,105.339,0.24844,0.48915,0.08978,0.86667,0.80197,0.85697,0.59887,0.38443,0.64415,0.12149,0.00103145,0.00103145,0.00103145
8,117.162,0.28938,0.57305,0.08773,0.86202,0.55872,0.66509,0.46571,0.39431,1.01281,0.11701,0.0010989,0.0010989,0.0010989
9,128.753,0.27486,0.58533,0.09644,0.94056,0.72546,0.79814,0.55861,0.3886,0.87301,0.11154,0.00105174,0.00105174,0.00105174
10,140.562,0.26606,0.60562,0.11551,0.88719,0.75913,0.82404,0.55919,0.39516,0.70406,0.1224,0.00100459,0.00100459,0.00100459
11,152.19,0.28759,0.54714,0.06803,0.87813,0.76579,0.82772,0.58195,0.38164,0.60494,0.11636,0.00095743,0.00095743,0.00095743
12,163.828,0.24991,0.55131,0.07937,0.90166,0.7593,0.8296,0.57566,0.40783,0.68434,0.12395,0.000910273,0.000910273,0.000910273
13,175.339,0.29283,0.49869,0.1121,0.91495,0.67111,0.78729,0.55318,0.34731,0.79219,0.10332,0.000863116,0.000863116,0.000863116
14,187.052,0.2425,0.45926,0.07636,0.95261,0.66511,0.7973,0.56884,0.32937,0.97439,0.09817,0.000815959,0.000815959,0.000815959
15,198.684,0.26641,0.50301,0.08122,0.93267,0.69794,0.8287,0.6057,0.32762,0.75757,0.10219,0.000768802,0.000768802,0.000768802
16,210.609,0.24963,0.48317,0.08033,0.88635,0.56602,0.68917,0.51004,0.33805,1.19142,0.0997,0.000721645,0.000721645,0.000721645
17,222.164,0.20846,0.42837,0.08222,0.86446,0.66346,0.72384,0.52921,0.34467,1.03406,0.10425,0.000674488,0.000674488,0.000674488
18,233.817,0.2497,0.41903,0.12324,0.95395,0.7634,0.80692,0.57938,0.41741,0.76931,0.12379,0.000627331,0.000627331,0.000627331
19,245.326,0.23402,0.49161,0.08875,0.92994,0.74995,0.82469,0.58326,0.40729,0.75322,0.11967,0.000580174,0.000580174,0.000580174
20,257.048,0.2518,0.39533,0.10174,0.97681,0.68921,0.78982,0.56376,0.39137,0.75178,0.1288,0.000533017,0.000533017,0.000533017
21,273.086,0.20663,0.4194,0.08498,0.94178,0.59534,0.70275,0.50931,0.36884,0.84948,0.11053,0.00048586,0.00048586,0.00048586
22,284.87,0.15702,0.33412,0.06465,0.96196,0.74608,0.82808,0.60402,0.33968,0.80241,0.10415,0.000438703,0.000438703,0.000438703
23,296.376,0.21623,0.36647,0.13432,0.97165,0.73167,0.82682,0.61131,0.3372,0.80241,0.10099,0.000391546,0.000391546,0.000391546
24,308.188,0.19604,0.36054,0.08632,0.8875,0.67069,0.74136,0.54389,0.34171,0.81228,0.10392,0.000344389,0.000344389,0.000344389
25,319.723,0.19937,0.34867,0.08116,0.9105,0.67574,0.73503,0.53697,0.33906,0.81113,0.10304,0.000297232,0.000297232,0.000297232
26,331.362,0.18032,0.36661,0.08902,0.87086,0.74694,0.79003,0.58835,0.322,0.85051,0.09552,0.000250075,0.000250075,0.000250075
27,342.881,0.15388,0.2872,0.06762,0.91944,0.73409,0.79659,0.60053,0.33632,0.80485,0.10274,0.000202918,0.000202918,0.000202918
28,354.477,0.15085,0.25879,0.05311,0.88998,0.72409,0.78092,0.58595,0.32017,0.90389,0.09663,0.000155761,0.000155761,0.000155761
29,366.013,0.14406,0.29663,0.05447,0.94588,0.70128,0.79353,0.59517,0.32434,0.90393,0.10112,0.000108604,0.000108604,0.000108604
30,377.571,0.14583,0.26566,0.06285,0.94363,0.72098,0.80687,0.59374,0.33053,0.88449,0.10398,6.1447e-05,6.1447e-05,6.1447e-05
