epoch,train_loss,val_loss,train_classifier_loss,val_classifier_loss,learning_rate
1,0.16261405282868788,0.1825691033154726,0.11548299994319677,0.07762026926502585,0.0001
2,0.06751207663462712,0.16619685105979443,0.029977882782427166,0.08409454300999641,0.0001
3,0.05202565180997436,0.14939306117594242,0.025087116465259057,0.09273724630475044,0.0001
4,0.04613967684025948,0.13736318796873093,0.01959656809385006,0.07264237618073821,0.0001
5,0.04197927284985781,0.14408172760158777,0.016768271210961617,0.07316619530320168,0.0001
6,0.03928117215848313,0.14351650699973106,0.013565611121101448,0.07559930114075541,0.0001
7,0.03534795367606701,0.14101020898669958,0.013506203410752978,0.0822586277499795,0.0001
8,0.03689933188546162,0.14068803749978542,0.013905120476220664,0.07772019691765308,0.0001
9,0.03258078190712975,0.14949528686702251,0.012454584473744035,0.08316820720210671,0.0001
10,0.034848212980880186,0.12982774805277586,0.013289349941680064,0.07021063333377242,0.0001
11,0.034324167475390896,0.11659656884148717,0.014719458314805077,0.056134247686713934,0.0001
12,0.031555635979972206,0.10796414315700531,0.012749752074551698,0.052790333051234484,0.0001
13,0.0291458280542149,0.1257052207365632,0.010969316533121925,0.06384870503097773,0.0001
14,0.03098247330993987,0.11710418807342649,0.011926018194152186,0.05388530623167753,0.0001
15,0.03372886855728351,0.15907276328653097,0.012682619289709972,0.07672842079773545,0.0001
16,0.027648675756958816,0.16689674649387598,0.010135480399745015,0.07083545718342066,0.0001
17,0.025472855661064386,0.13172315619885921,0.00927301856259314,0.06072764052078128,0.0001
18,0.0258578506226723,0.1444485355168581,0.010032540312609993,0.07119040051475167,0.0001
19,0.0261480575427413,0.14300885796546936,0.009795615324177422,0.07267374265938997,5e-05
20,0.022076309425756335,0.14291076688095927,0.008056993744013688,0.07319645956158638,5e-05
21,0.02135624188499955,0.13407300226390362,0.00794604661104341,0.06836134241893888,5e-05
22,0.022165251716684837,0.15436909766867757,0.008603076880367903,0.08285876410081983,5e-05
23,0.019171452812420633,0.15496597811579704,0.007261339597439824,0.0774640345480293,5e-05
24,0.019140211489194862,0.16184503864496946,0.007396512360383685,0.07915705163031816,5e-05
25,0.02001031762203918,0.16120522003620863,0.007614211886763,0.08269398636184633,2.5e-05
26,0.018074687426493395,0.16135105909779668,0.00723430344567952,0.08403063542209566,2.5e-05
27,0.020696166078918256,0.13749465998262167,0.007582817423658876,0.06761033949442208,2.5e-05
28,0.02142335582846919,0.14874631632119417,0.008001448447780253,0.07592816837131977,2.5e-05
29,0.019880475789810028,0.1361781801097095,0.007827068258148547,0.06496015843003988,2.5e-05
30,0.016483956491636212,0.13578373519703746,0.006487253151555286,0.06535830488428473,2.5e-05
31,0.01623061057538367,0.14056074060499668,0.006236576045361849,0.06818005559034646,1.25e-05
32,0.016663855447264862,0.13347812788560987,0.006500863299606863,0.06197643093764782,1.25e-05
