image_path,image_name,subfolder,class_id,class_name,confidence,xmin,ymin,xmax,ymax
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0135.JPG,DSCF0135.JPG,6R/103MEDIA,0,Other_Amphibian,0.0359,2470.9,1853.6,2670.3,2039.7
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0404.JPG,DSCF0404.JPG,6R/103MEDIA,0,Other_Amphibian,0.0792,2469.3,1851.8,2669.9,2038.5
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0537.JPG,DSCF0537.JPG,6R/103MEDIA,0,Other_Amphibian,0.1022,2469.9,1852.2,2670.0,2038.1
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0012.JPG,DSCF0012.JPG,6R/103MEDIA,0,Other_Amphibian,0.0107,2477.3,1855.4,2671.3,2036.7
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0488.JPG,DSCF0488.JPG,6R/103MEDIA,0,Other_Amphibian,0.0729,2469.6,1853.5,2669.3,2037.4
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0541.JPG,DSCF0541.JPG,6R/103MEDIA,0,Other_Amphibian,0.0366,2470.9,1851.1,2669.6,2036.5
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0519.JPG,DSCF0519.JPG,6R/103MEDIA,0,Other_Amphibian,0.0535,2469.8,1848.8,2670.9,2038.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0589.JPG,DSCF0589.JPG,6R/103MEDIA,0,Other_Amphibian,0.0446,2470.1,1850.3,2668.7,2036.4
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0466.JPG,DSCF0466.JPG,6R/103MEDIA,0,Other_Amphibian,0.0768,2468.9,1848.8,2670.6,2037.6
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0443.JPG,DSCF0443.JPG,6R/103MEDIA,0,Other_Amphibian,0.0424,2471.3,1849.7,2670.1,2036.3
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0911.JPG,DSCF0911.JPG,6R/103MEDIA,0,Other_Amphibian,0.1366,2470.3,1850.1,2669.8,2036.1
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0215.JPG,DSCF0215.JPG,6R/103MEDIA,0,Other_Amphibian,0.0244,2471.1,1852.4,2670.3,2038.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0173.JPG,DSCF0173.JPG,6R/103MEDIA,0,Other_Amphibian,0.0485,2470.7,1854.4,2669.7,2039.4
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0279.JPG,DSCF0279.JPG,6R/103MEDIA,0,Other_Amphibian,0.0637,2471.8,1851.9,2670.5,2038.8
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0464.JPG,DSCF0464.JPG,6R/103MEDIA,0,Other_Amphibian,0.0546,2472.0,1849.4,2670.3,2037.1
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0455.JPG,DSCF0455.JPG,6R/103MEDIA,0,Other_Amphibian,0.1041,2469.6,1852.4,2669.8,2038.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0407.JPG,DSCF0407.JPG,6R/103MEDIA,0,Other_Amphibian,0.0461,2469.2,1848.2,2670.4,2037.3
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0416.JPG,DSCF0416.JPG,6R/103MEDIA,0,Other_Amphibian,0.1067,2469.2,1851.3,2670.4,2038.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0922.JPG,DSCF0922.JPG,6R/103MEDIA,0,Other_Amphibian,0.0380,2471.1,1850.0,2669.6,2036.2
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0678.JPG,DSCF0678.JPG,6R/103MEDIA,0,Other_Amphibian,0.0734,2470.7,1847.2,2671.9,2036.4
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0651.JPG,DSCF0651.JPG,6R/103MEDIA,0,Other_Amphibian,0.0240,2473.6,1849.5,2669.9,2035.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0514.JPG,DSCF0514.JPG,6R/103MEDIA,0,Other_Amphibian,0.1144,2468.1,1850.1,2669.0,2038.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0767.JPG,DSCF0767.JPG,6R/103MEDIA,0,Other_Amphibian,0.0595,2469.1,1850.0,2668.8,2035.9
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0774.JPG,DSCF0774.JPG,6R/103MEDIA,0,Other_Amphibian,0.0441,2469.1,1848.9,2671.2,2036.8
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0298.JPG,DSCF0298.JPG,6R/103MEDIA,0,Other_Amphibian,0.0430,2469.8,1852.8,2669.9,2039.2
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0784.JPG,DSCF0784.JPG,6R/103MEDIA,0,Other_Amphibian,0.0810,2469.7,1849.5,2670.6,2036.5
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0933.JPG,DSCF0933.JPG,6R/103MEDIA,0,Other_Amphibian,0.0420,2473.7,1850.2,2670.4,2035.0
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0417.JPG,DSCF0417.JPG,6R/103MEDIA,0,Other_Amphibian,0.0355,2469.3,1848.6,2671.4,2038.2
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0543.JPG,DSCF0543.JPG,6R/103MEDIA,0,Other_Amphibian,0.0699,2467.3,1849.3,2670.7,2038.7
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0325.JPG,DSCF0325.JPG,6R/103MEDIA,0,Other_Amphibian,0.0232,2470.8,1850.1,2671.8,2038.1
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0650.JPG,DSCF0650.JPG,6R/103MEDIA,0,Other_Amphibian,0.0782,2468.7,1850.6,2670.3,2037.8
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0107.JPG,DSCF0107.JPG,6R/103MEDIA,0,Other_Amphibian,0.0134,2472.5,1853.7,2669.1,2037.5
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0562.JPG,DSCF0562.JPG,6R/103MEDIA,0,Other_Amphibian,0.0543,2471.5,1851.6,2670.8,2037.2
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0446.JPG,DSCF0446.JPG,6R/103MEDIA,0,Other_Amphibian,0.0293,2472.5,1848.9,2670.6,2035.9
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0512.JPG,DSCF0512.JPG,6R/103MEDIA,0,Other_Amphibian,0.0614,2468.4,1849.9,2670.2,2037.8
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0282.JPG,DSCF0282.JPG,6R/103MEDIA,0,Other_Amphibian,0.0638,2470.7,1852.7,2670.9,2038.3
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0430.JPG,DSCF0430.JPG,6R/103MEDIA,0,Other_Amphibian,0.0154,2471.3,1847.3,2670.8,2035.5
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0594.JPG,DSCF0594.JPG,6R/103MEDIA,0,Other_Amphibian,0.0624,2470.7,1847.8,2670.3,2036.3
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0956.JPG,DSCF0956.JPG,6R/103MEDIA,0,Other_Amphibian,0.0519,2469.9,1847.7,2670.1,2035.3
/srv/shared_leopard_toad/2025/Documents/25.08-01.09.2025/6R/103MEDIA/DSCF0221.JPG,DSCF0221.JPG,6R/103MEDIA,0,Other_Amphibian,0.0370,2472.4,1854.9,2669.4,2038.3
