epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5996,0.82488,1.85659,0.45527,0.51018,0.02055,0.00962,0.00415,0.84135,1.93407,0.34754,4.287e-05,4.287e-05,4.287e-05
2,28.6438,0.72483,1.53927,0.37942,0.19164,0.19197,0.0638,0.03206,0.50849,1.2904,0.15896,9.90397e-05,9.90397e-05,9.90397e-05
3,32.5096,0.63775,1.03143,0.29373,0.21413,0.15259,0.15039,0.10376,0.46171,1.01328,0.13751,0.000154078,0.000154078,0.000154078
4,36.3962,0.45804,1.05072,0.20352,0.31534,0.4083,0.34615,0.23478,0.43763,0.92496,0.13438,0.000207984,0.000207984,0.000207984
5,40.2466,0.47799,0.91346,0.23156,0.75994,0.39174,0.46168,0.30822,0.45912,0.8364,0.13296,0.000260758,0.000260758,0.000260758
6,44.3085,0.44658,0.8023,0.19225,0.88398,0.375,0.4422,0.31321,0.40472,0.88427,0.12109,0.000312401,0.000312401,0.000312401
7,48.1513,0.38275,0.90714,0.13583,0.47648,0.65639,0.58027,0.40491,0.37659,0.75502,0.1168,0.000362912,0.000362912,0.000362912
8,52.0163,0.36767,0.75132,0.16321,0.61256,0.66248,0.61659,0.41895,0.37561,0.72146,0.11416,0.000412291,0.000412291,0.000412291
9,55.8944,0.34417,0.73041,0.14639,0.80447,0.73839,0.75608,0.51343,0.35417,0.7157,0.10536,0.000460538,0.000460538,0.000460538
10,59.7785,0.34013,0.66885,0.18617,0.7998,0.80042,0.80539,0.53921,0.35209,0.6477,0.10789,0.000507654,0.000507654,0.000507654
11,63.6531,0.36167,0.57977,0.16529,0.85349,0.75496,0.79374,0.5448,0.34161,0.6217,0.10224,0.000553637,0.000553637,0.000553637
12,67.7034,0.42746,0.57162,0.18565,0.83773,0.74524,0.78924,0.54801,0.34514,0.74909,0.1019,0.000598489,0.000598489,0.000598489
13,71.4274,0.35605,0.56439,0.14871,0.84006,0.76142,0.8384,0.56797,0.36497,0.60897,0.10761,0.00064221,0.00064221,0.00064221
14,75.1652,0.35768,0.64454,0.16475,0.87348,0.65897,0.72827,0.5133,0.33663,0.67718,0.09849,0.000684798,0.000684798,0.000684798
15,78.8071,0.35097,0.55514,0.15804,0.81377,0.64923,0.66326,0.45851,0.36816,0.70841,0.10731,0.000726255,0.000726255,0.000726255
16,82.4145,0.36481,0.57246,0.13545,0.8747,0.69007,0.8087,0.5729,0.34647,0.62722,0.10427,0.00076658,0.00076658,0.00076658
17,86.1494,0.30362,0.54249,0.10793,0.83317,0.75209,0.81138,0.57442,0.34821,0.64996,0.10723,0.000805773,0.000805773,0.000805773
18,90.1115,0.31717,0.53376,0.10584,0.86547,0.74543,0.82538,0.57979,0.34228,0.6624,0.10178,0.000843835,0.000843835,0.000843835
19,93.8711,0.34413,0.51962,0.11401,0.88989,0.75131,0.81302,0.56039,0.36505,0.64177,0.10887,0.000880764,0.000880764,0.000880764
20,97.5282,0.25075,0.55452,0.0885,0.92073,0.708,0.79021,0.54924,0.37817,0.68554,0.11553,0.000916562,0.000916562,0.000916562
21,101.172,0.28977,0.56266,0.11935,0.93155,0.71119,0.80285,0.54776,0.36046,0.74445,0.10672,0.000951228,0.000951228,0.000951228
22,104.817,0.26899,0.46714,0.07592,0.89629,0.75228,0.79537,0.55847,0.38149,0.72418,0.13268,0.000984762,0.000984762,0.000984762
23,108.727,0.33416,0.48687,0.11298,0.91975,0.75228,0.78994,0.56544,0.38682,0.73063,0.13393,0.00101717,0.00101717,0.00101717
24,112.345,0.2871,0.48014,0.09633,0.93617,0.73858,0.78382,0.54511,0.38765,0.82349,0.13536,0.00104844,0.00104844,0.00104844
25,116.007,0.286,0.46437,0.09856,0.91456,0.69272,0.81904,0.58622,0.40075,0.73343,0.14434,0.00107857,0.00107857,0.00107857
26,119.761,0.23348,0.43433,0.07892,0.92976,0.73193,0.84416,0.59994,0.39174,0.72387,0.13703,0.00107532,0.00107532,0.00107532
27,123.523,0.27556,0.47865,0.11095,0.9103,0.77302,0.82456,0.59482,0.39006,0.70659,0.12789,0.00106118,0.00106118,0.00106118
28,127.417,0.29099,0.48636,0.11769,0.95183,0.76591,0.81226,0.58894,0.39325,0.70138,0.12502,0.00104703,0.00104703,0.00104703
29,130.967,0.23436,0.46429,0.09678,0.88195,0.77987,0.82342,0.57383,0.41567,0.69355,0.13874,0.00103288,0.00103288,0.00103288
30,134.546,0.25377,0.44358,0.09019,0.88633,0.78222,0.84193,0.59025,0.39314,0.67134,0.12751,0.00101873,0.00101873,0.00101873
31,138.165,0.24219,0.41585,0.0859,0.88043,0.79989,0.82338,0.57553,0.3913,0.64384,0.12304,0.00100459,0.00100459,0.00100459
32,141.813,0.25575,0.4497,0.08927,0.92887,0.72242,0.78834,0.55012,0.36956,0.75297,0.10535,0.00099044,0.00099044,0.00099044
33,145.442,0.25385,0.44202,0.10357,0.90336,0.7226,0.7944,0.57177,0.35773,0.82069,0.10199,0.000976293,0.000976293,0.000976293
34,149.339,0.23258,0.40209,0.08624,0.88553,0.75228,0.81546,0.5658,0.37437,0.76854,0.11361,0.000962146,0.000962146,0.000962146
35,152.976,0.25785,0.39315,0.0836,0.89862,0.72882,0.76986,0.52831,0.38681,0.77052,0.11558,0.000947999,0.000947999,0.000947999
