epoch,train_loss,val_loss,train_classifier_loss,val_classifier_loss
1,0.22693830356001854,0.2666536420583725,0.11941976845264435,0.12926545925438404
2,0.17799699679017067,0.21425264328718185,0.07931252010166645,0.0891274344176054
3,0.1505279242992401,0.1932559609413147,0.059796812012791634,0.07813471741974354
4,0.1462540477514267,0.1830153577029705,0.05906628351658583,0.07713342364877462
5,0.13168348744511604,0.17796635441482067,0.04857383854687214,0.0791104594245553
6,0.12586195394396782,0.17382724210619926,0.04795839171856642,0.07866651937365532
7,0.1276281736791134,0.16835727728903294,0.05007884092628956,0.07648780196905136
8,0.11878569610416889,0.15772121027112007,0.047589752823114395,0.07155155763030052
9,0.11329127661883831,0.15025677345693111,0.04390909522771835,0.06810102239251137
10,0.10907823592424393,0.1448220331221819,0.042687599547207355,0.06703468225896358
11,0.10337659157812595,0.14346756041049957,0.0381331741809845,0.06681172922253609
12,0.10569041781127453,0.14209463074803352,0.04059671051800251,0.06570523791015148
13,0.09625211358070374,0.14200319349765778,0.03547073435038328,0.06525443121790886
14,0.09819707460701466,0.14491238445043564,0.03659205697476864,0.06838958524167538
15,0.09817745164036751,0.14187543094158173,0.036276206374168396,0.06728850770741701
16,0.09138013422489166,0.1434899866580963,0.03376735467463732,0.06848626397550106
17,0.0920829139649868,0.1380456779152155,0.03173913573846221,0.06527980323880911
18,0.08637512102723122,0.13671956211328506,0.030186013784259558,0.06408903375267982
19,0.08403492905199528,0.13718594796955585,0.029244587756693363,0.06554202269762754
20,0.08437741920351982,0.13569032959640026,0.030322895385324955,0.06541503500193357
21,0.08137550763785839,0.135160144418478,0.027412626426666975,0.06485988758504391
22,0.0858977735042572,0.1386435702443123,0.028826518449932337,0.06781469844281673
23,0.07714165188372135,0.1339428722858429,0.025234815198928118,0.0640456909313798
24,0.07444814220070839,0.13391809165477753,0.023343597538769245,0.0667399000376463
25,0.07386516500264406,0.13738043420016766,0.022254755720496178,0.06916246749460697
26,0.07313541229814291,0.13742391020059586,0.022963435389101505,0.06892415415495634
27,0.07672652043402195,0.13758077658712864,0.02320831548422575,0.06923137605190277
28,0.07235437538474798,0.1379142813384533,0.02247751597315073,0.0693280203267932
29,0.07204769551753998,0.12957181222736835,0.02306507294997573,0.0642145061865449
30,0.07166062202304602,0.13248196057975292,0.02258407510817051,0.06648049969226122
31,0.07150062825530767,0.1403596419841051,0.0224789809435606,0.07293533347547054
32,0.07109406404197216,0.13579711504280567,0.02117291744798422,0.0681710746139288
33,0.06543718464672565,0.1360886637121439,0.018232461996376514,0.06877058371901512
34,0.06715759821236134,0.13592738285660744,0.020067119039595127,0.06936357077211142
35,0.06973103247582912,0.13651107996702194,0.019739295355975628,0.06945015210658312
36,0.06867574620991945,0.14158434979617596,0.019195752684026957,0.07574618235230446
37,0.06404725089669228,0.13543440401554108,0.017622261308133602,0.07114758435636759
38,0.0653660949319601,0.13541457056999207,0.017863874323666096,0.07079148292541504
39,0.06419951096177101,0.1349071953445673,0.017130901804193854,0.07071807514876127
40,0.06220304872840643,0.14044331572949886,0.017653587739914656,0.07547465711832047
41,0.06100913416594267,0.13758012652397156,0.015436484944075346,0.07374518364667892
42,0.06584350299090147,0.1299204882234335,0.018438448198139668,0.06741932220757008
43,0.05615195445716381,0.13662386313080788,0.015077123185619712,0.07315668743103743
44,0.06333765666931868,0.1390287857502699,0.01866464060731232,0.07488252595067024
