epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3305,1.27008,108.557,0.74752,0.00031,0.12329,0.00019,9e-05,0.9948,76.9966,0.5226,8.574e-05,8.574e-05,8.574e-05
2,25.6259,1.16776,85.6843,0.66591,0.00828,0.15164,0.00373,0.00188,0.8735,21.6541,0.32951,0.000182705,0.000182705,0.000182705
3,37.1645,0.96777,11.7158,0.56442,0.01057,0.26389,0.0268,0.0119,0.64682,1.78064,0.25292,0.000276369,0.000276369,0.000276369
4,45.8343,0.70916,1.72219,0.42324,0.60018,0.33333,0.20888,0.15137,0.34804,1.9274,0.10416,0.000366731,0.000366731,0.000366731
5,53.5709,0.48904,1.56649,0.27045,0.21567,0.65639,0.42719,0.30328,0.37275,1.22608,0.12072,0.000453793,0.000453793,0.000453793
6,61.2579,0.46045,1.21486,0.24931,0.88429,0.31944,0.5317,0.33737,0.45789,0.93952,0.1515,0.000537554,0.000537554,0.000537554
7,68.9838,0.44382,0.95457,0.20212,0.74907,0.73334,0.70869,0.46947,0.42375,0.90274,0.15197,0.000618014,0.000618014,0.000618014
8,76.582,0.38828,0.83859,0.20263,0.57925,0.48364,0.52119,0.32984,0.52291,0.87872,0.19844,0.000695173,0.000695173,0.000695173
9,83.8097,0.5979,0.71489,0.31243,0.91014,0.52283,0.5909,0.39406,0.50754,0.89226,0.17702,0.000769031,0.000769031,0.000769031
10,91.1288,0.45651,0.72199,0.2622,0.80225,0.37798,0.42217,0.1993,0.70829,0.99704,0.25686,0.000839588,0.000839588,0.000839588
11,98.3611,0.37726,0.63004,0.2022,0.62487,0.24829,0.32105,0.14841,0.63519,1.32243,0.24333,0.000906843,0.000906843,0.000906843
12,105.708,0.37639,0.66552,0.21057,0.856,0.33932,0.41855,0.23132,0.62782,0.90786,0.22036,0.000970798,0.000970798,0.000970798
13,112.941,0.42381,0.62709,0.18003,0.38207,0.03344,0.03111,0.01277,1.11314,1.33863,0.45395,0.00103145,0.00103145,0.00103145
14,120.255,0.38721,0.68944,0.19,0.69897,0.06849,0.06224,0.04056,1.38142,1.11034,0.57038,0.00108881,0.00108881,0.00108881
