epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4101,0.89552,1.24461,0.00477,0.92487,0.73433,0.83095,0.63672,1.02458,1.27599,0.00506,1.429e-05,1.429e-05,1.429e-05
2,23.1314,1.04084,1.20604,0.00687,0.95787,0.72392,0.82893,0.63686,1.01875,1.28634,0.00505,4.00406e-05,4.00406e-05,4.00406e-05
3,26.6811,0.96074,1.17838,0.0042,0.96096,0.72951,0.83361,0.63831,1.0168,1.2702,0.00506,6.20186e-05,6.20186e-05,6.20186e-05
4,30.651,0.96155,1.16543,0.0051,0.98082,0.74491,0.84699,0.64832,1.01183,1.16221,0.00501,8.02241e-05,8.02241e-05,8.02241e-05
5,34.8444,0.97234,0.90582,0.00519,0.98021,0.76182,0.85221,0.64591,1.02386,1.09971,0.00504,9.4657e-05,9.4657e-05,9.4657e-05
6,50.9493,0.86428,1.05271,0.00491,0.9467,0.76849,0.85202,0.64781,1.01683,1.11437,0.00504,0.000105317,0.000105317,0.000105317
7,55.7162,0.89974,0.88784,0.00559,0.95167,0.76655,0.8495,0.6482,1.02318,1.10829,0.00509,0.000112205,0.000112205,0.000112205
8,61.2674,0.84119,0.81746,0.00468,0.91774,0.76099,0.84159,0.64265,1.01897,1.14746,0.00511,0.00011532,0.00011532,0.00011532
9,65.2755,0.75699,0.58797,0.00431,0.94739,0.711,0.82789,0.63451,1.03299,1.2169,0.00515,0.000114663,0.000114663,0.000114663
10,68.9605,0.83094,0.63693,0.0047,0.95134,0.711,0.81902,0.62971,1.03884,1.27901,0.00519,0.000110233,0.000110233,0.000110233
11,72.4149,0.79889,0.61726,0.00439,0.96361,0.69593,0.8084,0.6223,1.03596,1.35155,0.00519,0.000102031,0.000102031,0.000102031
12,75.602,0.80289,0.52702,0.00447,0.96351,0.69623,0.80772,0.62358,1.02773,1.38021,0.00518,9.00556e-05,9.00556e-05,9.00556e-05
13,78.754,0.82074,0.62158,0.00458,0.95471,0.70608,0.80648,0.62222,1.02219,1.3825,0.00515,7.4308e-05,7.4308e-05,7.4308e-05
14,81.9015,0.73383,0.61127,0.00428,0.95493,0.70832,0.80509,0.62132,1.01628,1.38247,0.00512,5.47879e-05,5.47879e-05,5.47879e-05
15,85.0654,0.76534,0.52273,0.00456,0.95502,0.70833,0.80369,0.62019,1.00729,1.3778,0.0051,3.14952e-05,3.14952e-05,3.14952e-05
