epoch,train_total_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_total_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,lr
1,0.07093052959834979,0.029795265537720675,0.03741996733554465,0.002219552470598461,0.0014957443644719836,0.05539284214494428,0.022501404424007807,0.03016723104854997,0.001414206391870878,0.001310000215527231,9.997532801828658e-05
2,0.055190465432403794,0.022603315130575546,0.029758867685708724,0.001549897779006602,0.0012783848893656716,0.051661941232598575,0.021774174175005778,0.026970093440830085,0.0016303305193862308,0.0012873431354705049,9.990133642141359e-05
3,0.0547966486279669,0.022613445408914516,0.029375359753671323,0.0015162324007337025,0.0012916110018957952,0.051926877525152335,0.021463685476401557,0.0275339246556865,0.0016276051327055905,0.0013016621572762748,9.977809823015401e-05
4,0.051441030145453696,0.021156598776139155,0.027594066364769188,0.0014319934238160256,0.0012583715378424857,0.051044060019727465,0.021369807129599037,0.02708495140846097,0.0013375425629676759,0.0012517589052525929,9.960573506572391e-05
5,0.05081926247899689,0.02079979844805965,0.027381159772990694,0.0013964317505132196,0.001241872498795428,0.05069208788778145,0.02151372764961726,0.02641785281334872,0.0015252021595659538,0.0012353052452501612,9.93844170297569e-05
6,0.04942147166139963,0.02027921798754695,0.026538534460043794,0.0013712720182405807,0.0012324470952058974,0.047744601701644705,0.019737984759596552,0.02539780980258868,0.001409861295256509,0.0011989457790431426,9.911436253643445e-05
7,0.04888243433831447,0.020091007634821467,0.026351393179516736,0.0012273538634454556,0.001212679658060503,0.0490630701213529,0.020502306065029653,0.025914326083422177,0.0014383002018698622,0.001208137626350121,9.879583809693738e-05
8,0.047431418765388624,0.019335070322882834,0.025678517423599473,0.001220880997088402,0.001196949945528745,0.05204335149104527,0.02163997818764631,0.0270716476654,0.0020355485545100124,0.0012961770522137567,9.842915805643157e-05
9,0.04684508257786869,0.018939640019622964,0.02558430823057203,0.0011380868543863026,0.0011830474860397412,0.04730997235558108,0.020397717606139745,0.024312467767774123,0.0013758661665043096,0.0012239205047728358,9.801468428384717e-05
10,0.04580339309646884,0.018590051423498608,0.024944343480075792,0.0011023027640774921,0.001166695360462205,0.050693167568579396,0.020222851401926336,0.027674930574889272,0.0016071743944058553,0.0011882110574576487,9.75528258147577e-05
11,0.04577139090221038,0.018675837422888086,0.024852195770352525,0.001092060871344239,0.001151296829349587,0.05019598726807308,0.020506239956956728,0.02719612799204535,0.0013065818231019523,0.0011870373697635713,9.70440384477113e-05
12,0.04464000356375769,0.01800981367649767,0.02442890997115416,0.0010696054727787336,0.0011316744116671015,0.04427981687251342,0.018423993239198758,0.023331484896330777,0.0013921113283033922,0.001132227431079775,9.64888242944126e-05
13,0.04291365989402749,0.017156539122852015,0.023576476436868485,0.0010673954498878143,0.0011132489437761022,0.05033013715130809,0.02092046989615597,0.026683590621126727,0.001516235828660526,0.0012098409041045575,9.588773128419907e-05
14,0.04317090792990823,0.017359203258251847,0.023653200753200685,0.0010541363749425375,0.0011043674756205856,0.049549861533167476,0.020494385266491257,0.026379515104853982,0.0014582491876829918,0.0012177120833547972,9.5241352623301e-05
15,0.04262505230996936,0.01715877050891971,0.023316759795176643,0.0010423262200004563,0.0011071957093338938,0.047612655035059175,0.019500226477229314,0.025538434498792232,0.0014021053282618377,0.001171888788983455,9.455032620941843e-05
16,0.04301617742464273,0.017316379009820877,0.023569296654931543,0.0010322777665736642,0.0010982240516879032,0.05114928512048971,0.020735068907424884,0.02769376796363068,0.0014588744190633686,0.0012615737659156965,9.381533400219321e-05
17,0.04211885981605152,0.016902112932860047,0.023210843476378362,0.0009341663793545561,0.0010717370772430387,0.046388114451464874,0.019166006565250027,0.024663561689350463,0.001346877519370737,0.001211668493080499,9.303710135019722e-05
18,0.0409206184796767,0.016309184473250825,0.022604010887695303,0.000940573441237257,0.0010668496244839335,0.049296933314055984,0.020331022891591433,0.026147559070618366,0.0016182484234368102,0.0012001028812108855,9.22163962751008e-05
19,0.04077256096714397,0.01632458116715756,0.022477015649806656,0.0009175723813859088,0.0010533916901611473,0.04676645637260682,0.019454258867095748,0.02473628798168133,0.0014104412978367834,0.0011654680281516692,9.135402871372814e-05
20,0.04023501655676346,0.015924359543773567,0.022353183404302215,0.0009052442564731299,0.0010522294222379727,0.047589107372685874,0.020109532547246723,0.02482258728876008,0.0015195111814541658,0.001137476359434299,9.045084971874742e-05
21,0.03970707964336373,0.015860699794604378,0.021889106271565463,0.0009130953008528815,0.0010441782179165804,0.045926327890282524,0.01894557623056139,0.024464240409823923,0.001385396710971519,0.0011311147061965298,8.950775061878456e-05
22,0.03887065474944898,0.015527308085371078,0.021437333060712244,0.0008707330078255656,0.0010352805971596997,0.043992611579596996,0.01840943000425648,0.022974482091407032,0.00150207836509372,0.0011066211055639976,8.852566213878951e-05
23,0.038524887472717796,0.01528429413505397,0.021381550351761914,0.0008345821943043633,0.0010244607974297696,0.04480101329064806,0.018366610899528596,0.023937567544330633,0.0013679411987850567,0.0011288936135477351,8.750555348152303e-05
24,0.03769430100704224,0.014976016993353278,0.020883945985883057,0.0008208455553883405,0.0010134924877240746,0.04528977887227117,0.018224561313918124,0.024485541134585103,0.001461350897710139,0.0011183254469365263,8.644843137107063e-05
