epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1262,1.62737,7.09521,0.00958,0.45236,0.22549,0.14499,0.12127,1.22404,5.10291,0.0103,0.00010003,0.00010003,0.00010003
2,79.9912,1.46224,4.45103,0.0089,0.25718,0.39438,0.21863,0.15872,1.37168,2.87813,0.01127,0.000210106,0.000210106,0.000210106
3,85.1127,1.20838,2.01539,0.00748,0.63216,0.38021,0.45861,0.31338,1.19356,1.49336,0.01023,0.000315655,0.000315655,0.000315655
4,90.1621,1.25749,1.61281,0.00685,0.75666,0.5625,0.5175,0.38713,1.19736,1.14214,0.01001,0.000416676,0.000416676,0.000416676
5,95.2857,1.17132,1.39863,0.00679,0.92991,0.55323,0.77278,0.52585,1.34236,0.93034,0.01149,0.000513171,0.000513171,0.000513171
6,101.026,1.03359,0.855,0.00574,0.58172,0.73009,0.81085,0.58057,1.02555,0.94909,0.0087,0.000605139,0.000605139,0.000605139
7,106.606,0.97105,0.93651,0.00528,0.69241,0.59712,0.66894,0.44917,1.1793,0.76668,0.00987,0.000692579,0.000692579,0.000692579
8,111.961,1.08912,1.03384,0.00633,0.74263,0.65845,0.64107,0.39381,1.51024,0.84938,0.01334,0.000775493,0.000775493,0.000775493
9,116.585,1.11368,0.73385,0.00611,0.66111,0.74537,0.76532,0.5451,1.12718,0.62279,0.01009,0.000853879,0.000853879,0.000853879
10,121.027,1.02115,0.78486,0.00637,0.83347,0.769,0.82744,0.59873,1.17968,0.58001,0.01044,0.000927738,0.000927738,0.000927738
11,125.511,0.9774,0.62187,0.00673,0.71967,0.77639,0.81689,0.57341,1.18861,0.54953,0.01078,0.00099707,0.00099707,0.00099707
12,130.627,1.07483,0.80219,0.00633,0.93301,0.77683,0.85954,0.54222,1.21757,0.56739,0.01098,0.00106188,0.00106188,0.00106188
13,135.137,1.05832,0.68605,0.0052,0.92857,0.85263,0.88609,0.56417,1.01397,0.4838,0.00959,0.00108947,0.00108947,0.00108947
14,140.124,1.11829,0.68378,0.006,0.7851,0.84031,0.88413,0.50997,1.27973,0.56461,0.0125,0.00106118,0.00106118,0.00106118
15,145.045,1.05672,0.60401,0.00576,0.94622,0.76315,0.8751,0.56435,1.06829,0.46565,0.01013,0.00103288,0.00103288,0.00103288
16,149.988,1.05585,0.75804,0.00586,0.53104,0.81593,0.86182,0.55296,1.1825,0.76652,0.01035,0.00100459,0.00100459,0.00100459
17,154.993,1.04791,0.65061,0.00587,0.70268,0.78329,0.88891,0.5706,1.29207,0.61107,0.01089,0.000976293,0.000976293,0.000976293
18,159.587,1.09676,0.73161,0.00604,0.80239,0.79412,0.90629,0.60363,1.0667,0.51744,0.00965,0.000947999,0.000947999,0.000947999
19,164.36,1.02458,0.62826,0.00595,0.94604,0.81192,0.91674,0.57693,1.21165,0.48759,0.01049,0.000919704,0.000919704,0.000919704
20,169.132,0.99042,0.48079,0.0052,0.97588,0.84222,0.90532,0.62311,1.17095,0.4441,0.01024,0.00089141,0.00089141,0.00089141
