epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8079,0.27748,0.4806,0.09234,0.90517,0.77503,0.81469,0.60846,0.31377,0.63878,0.0963,8.574e-05,8.574e-05,8.574e-05
2,25.7763,0.25399,0.47643,0.08758,0.93975,0.85614,0.88056,0.64246,0.31882,0.6103,0.09381,0.00017964,0.00017964,0.00017964
3,38.0749,0.24704,0.49818,0.09443,0.87925,0.66944,0.69535,0.49382,0.33711,1.00012,0.10158,0.000266937,0.000266937,0.000266937
4,45.8625,0.23853,0.46865,0.0774,0.94056,0.80746,0.8815,0.6305,0.328,0.62626,0.09714,0.000347633,0.000347633,0.000347633
5,53.4518,0.23442,0.43822,0.08814,0.86947,0.5997,0.64396,0.45702,0.35019,0.84879,0.10545,0.000421726,0.000421726,0.000421726
6,61.1031,0.25853,0.40582,0.09573,0.94282,0.71119,0.7949,0.56011,0.35794,1.05895,0.10943,0.000489218,0.000489218,0.000489218
7,68.8148,0.24633,0.40332,0.08361,0.92812,0.75262,0.84953,0.61443,0.40656,0.78253,0.134,0.000550108,0.000550108,0.000550108
8,76.27,0.23764,0.43764,0.10105,0.91825,0.79395,0.85703,0.6231,0.34937,0.75861,0.10566,0.000604396,0.000604396,0.000604396
9,83.5872,0.23064,0.41446,0.09249,0.90439,0.81922,0.86074,0.6205,0.34177,0.65801,0.10334,0.000652081,0.000652081,0.000652081
10,91.0479,0.20837,0.38501,0.06817,0.90446,0.83524,0.88698,0.61229,0.33501,0.62895,0.10393,0.000693165,0.000693165,0.000693165
11,98.3552,0.24576,0.39241,0.0877,0.89067,0.711,0.80795,0.56093,0.35019,1.03409,0.10062,0.000727647,0.000727647,0.000727647
12,105.798,0.24098,0.42428,0.09001,0.90471,0.73031,0.75963,0.53415,0.32603,0.80806,0.09366,0.000755527,0.000755527,0.000755527
13,113.125,0.25228,0.38696,0.08108,0.91823,0.74787,0.75741,0.53908,0.35379,0.79902,0.10801,0.000776804,0.000776804,0.000776804
14,120.499,0.21874,0.37118,0.06835,0.94591,0.84463,0.8907,0.64437,0.33016,0.64181,0.1048,0.00079148,0.00079148,0.00079148
15,128.103,0.24905,0.39473,0.10915,0.97537,0.83311,0.88822,0.64287,0.32023,0.61732,0.10234,0.000768802,0.000768802,0.000768802
16,135.538,0.22662,0.40587,0.07101,0.89696,0.87595,0.8786,0.6181,0.32301,0.57713,0.1022,0.000721645,0.000721645,0.000721645
17,142.85,0.22901,0.38426,0.07038,0.90217,0.86225,0.87609,0.6358,0.31178,0.53747,0.08965,0.000674488,0.000674488,0.000674488
18,150.341,0.22899,0.41244,0.09265,0.96261,0.81064,0.88236,0.6435,0.30979,0.6745,0.09503,0.000627331,0.000627331,0.000627331
19,157.672,0.24965,0.34597,0.06904,0.92248,0.85627,0.87325,0.62059,0.33165,0.57282,0.09887,0.000580174,0.000580174,0.000580174
20,165.098,0.24241,0.39235,0.09549,0.93832,0.8554,0.88751,0.6423,0.31361,0.55915,0.09383,0.000533017,0.000533017,0.000533017
21,177.47,0.18889,0.33944,0.07201,0.96969,0.8445,0.91201,0.66325,0.30332,0.54913,0.09532,0.00048586,0.00048586,0.00048586
22,185.434,0.16749,0.30072,0.05668,0.95239,0.80614,0.86552,0.60984,0.32103,0.60526,0.10154,0.000438703,0.000438703,0.000438703
23,192.727,0.15565,0.29351,0.04774,0.94631,0.81266,0.86969,0.61493,0.33041,0.60031,0.10162,0.000391546,0.000391546,0.000391546
24,200.098,0.19032,0.31852,0.05653,0.95346,0.84189,0.91338,0.65218,0.33008,0.55861,0.10228,0.000344389,0.000344389,0.000344389
25,207.349,0.20734,0.32826,0.08334,0.91905,0.8716,0.91632,0.67069,0.31434,0.55141,0.10014,0.000297232,0.000297232,0.000297232
26,214.943,0.1739,0.26927,0.07397,0.94967,0.83616,0.90251,0.66366,0.30594,0.57455,0.09766,0.000250075,0.000250075,0.000250075
27,222.218,0.15036,0.26129,0.05277,0.93468,0.82974,0.88131,0.64319,0.31081,0.59937,0.09968,0.000202918,0.000202918,0.000202918
28,229.57,0.13808,0.24949,0.05407,0.95245,0.83892,0.8861,0.65349,0.30474,0.6181,0.09934,0.000155761,0.000155761,0.000155761
29,236.8,0.15236,0.2837,0.05985,0.94999,0.84579,0.8844,0.65302,0.30394,0.63099,0.09687,0.000108604,0.000108604,0.000108604
30,244.173,0.1541,0.25548,0.05243,0.95115,0.84831,0.89754,0.66633,0.30088,0.61358,0.09689,6.1447e-05,6.1447e-05,6.1447e-05
