epoch,train_loss,val_loss,train_classifier_loss,val_classifier_loss,learning_rate
1,0.3568307802081108,0.2700093239545822,0.29652689322829245,0.1607818491756916,0.0001
2,0.11123005673289299,0.1939411573112011,0.053398733399808405,0.08586289174854755,0.0001
3,0.0913926713168621,0.17657653614878654,0.039008329063653945,0.08091795444488525,0.0001
4,0.08246046975255013,0.17708374187350273,0.03475767113268376,0.0874922014772892,0.0001
5,0.07445315569639206,0.1590169407427311,0.03218897711485624,0.08107676170766354,0.0001
6,0.06455887779593468,0.15267011523246765,0.028575506620109083,0.07942830584943295,0.0001
7,0.05432065930217504,0.14942356571555138,0.02328222179785371,0.07661846466362476,0.0001
8,0.04926895201206207,0.1278153471648693,0.019979911390691996,0.06026120111346245,0.0001
9,0.04739408232271671,0.12179199047386646,0.018565948680043222,0.059873806312680244,0.0001
10,0.04374896120280027,0.13070530258119106,0.016736544109880923,0.06632420979440212,0.0001
11,0.0383877769112587,0.13507158495485783,0.014100066758692265,0.07025905419141054,0.0001
12,0.03834950365126133,0.13110155425965786,0.014131591189652681,0.06707203760743141,0.0001
13,0.03884073859080672,0.12730073928833008,0.014425942581146956,0.0629852470010519,0.0001
14,0.03084131684154272,0.13020988926291466,0.011517369281500578,0.06290902383625507,0.0001
15,0.03341310545802116,0.1385373491793871,0.01248262175358832,0.06705892086029053,0.0001
16,0.034165910352021454,0.12929174304008484,0.012701776623725892,0.064033436588943,5e-05
17,0.03284864835441113,0.14170525409281254,0.01223048074170947,0.0699602235108614,5e-05
18,0.028921805135905743,0.1407400295138359,0.010768171725794673,0.06918208673596382,5e-05
19,0.024833609443157913,0.12505707703530788,0.009349560691043734,0.0592683395370841,5e-05
20,0.03157093245536089,0.1361922901123762,0.012335233064368368,0.06695567816495895,5e-05
21,0.025460341200232505,0.13651983626186848,0.00968246445991099,0.06747707910835743,5e-05
22,0.02781040547415614,0.1365259885787964,0.011116376193240286,0.06674171146005392,2.5e-05
23,0.022827359847724438,0.1342998594045639,0.008626918122172356,0.06469122599810362,2.5e-05
24,0.023940411023795606,0.13527121022343636,0.009142877953127026,0.06475252844393253,2.5e-05
25,0.02610724773257971,0.1384633518755436,0.010525320982560515,0.06720126792788506,2.5e-05
26,0.02426265422254801,0.13713030703365803,0.009570286097005009,0.06578098237514496,2.5e-05
27,0.02550666956230998,0.13426130451261997,0.01006524688564241,0.06297227554023266,2.5e-05
28,0.024556880258023737,0.13171178102493286,0.009400316700339317,0.06175525672733784,1.25e-05
29,0.02299642777070403,0.13071688637137413,0.008916257927194238,0.061781665310263634,1.25e-05
