epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7132,0.32073,0.62674,0.08629,0.9061,0.76485,0.85502,0.58564,0.35283,0.67769,0.10693,0.00022864,0.00022864,0.00022864
2,47.3516,0.24977,0.57372,0.09726,0.89066,0.73432,0.81858,0.57456,0.32218,0.77349,0.09606,0.000456008,0.000456008,0.000456008
3,61.9674,0.26781,0.57208,0.09855,0.93663,0.84932,0.87435,0.55537,0.40691,0.63131,0.11887,0.000667343,0.000667343,0.000667343
4,76.2792,0.34213,0.59859,0.12449,0.82195,0.67791,0.70914,0.45522,0.44236,0.80827,0.14133,0.000862644,0.000862644,0.000862644
5,90.4328,0.32196,0.57872,0.09894,0.83342,0.6508,0.73156,0.49367,0.45464,0.76473,0.15634,0.00104191,0.00104191,0.00104191
6,104.629,0.29729,0.61483,0.10463,0.88783,0.51846,0.6545,0.44758,0.42083,1.22935,0.12736,0.00119322,0.00119322,0.00119322
7,118.783,0.33751,0.58402,0.12846,0.91778,0.64878,0.76432,0.48747,0.42608,0.87851,0.13568,0.00114606,0.00114606,0.00114606
8,133.136,0.32585,0.66505,0.13426,0.7954,0.73027,0.83471,0.53123,0.40897,0.71841,0.13047,0.0010989,0.0010989,0.0010989
9,147.275,0.37706,0.63363,0.12607,0.87387,0.71478,0.79657,0.49192,0.42922,0.7438,0.1356,0.00105174,0.00105174,0.00105174
10,161.529,0.41742,0.61173,0.13742,0.87563,0.81876,0.8205,0.4931,0.43569,0.64239,0.13486,0.00100459,0.00100459,0.00100459
11,175.708,0.3022,0.60276,0.10644,0.89671,0.75401,0.79862,0.4884,0.43744,0.66006,0.14568,0.00095743,0.00095743,0.00095743
12,190.055,0.29695,0.51805,0.093,0.90325,0.66305,0.79624,0.47732,0.47254,0.90572,0.15145,0.000910273,0.000910273,0.000910273
13,204.235,0.26936,0.57558,0.08606,0.91069,0.80042,0.84845,0.55565,0.37804,0.67028,0.12764,0.000863116,0.000863116,0.000863116
14,218.538,0.31666,0.56903,0.12952,0.88314,0.83718,0.84736,0.56587,0.38256,0.63663,0.124,0.000815959,0.000815959,0.000815959
15,232.686,0.273,0.50552,0.10206,0.9343,0.79071,0.83466,0.54249,0.39926,0.66931,0.12975,0.000768802,0.000768802,0.000768802
16,247.043,0.3505,0.58589,0.12432,0.89153,0.79319,0.81645,0.54207,0.39471,0.61079,0.14034,0.000721645,0.000721645,0.000721645
17,261.104,0.24278,0.49628,0.09754,0.95681,0.7729,0.83617,0.54402,0.44445,0.56986,0.15448,0.000674488,0.000674488,0.000674488
18,275.384,0.27487,0.54829,0.08974,0.93922,0.75775,0.82945,0.53328,0.39174,0.66557,0.12468,0.000627331,0.000627331,0.000627331
19,289.529,0.2896,0.51288,0.09769,0.8639,0.77302,0.817,0.54655,0.39433,0.67857,0.12421,0.000580174,0.000580174,0.000580174
20,303.698,0.23986,0.49652,0.07839,0.89336,0.83063,0.87706,0.5996,0.37164,0.57001,0.11924,0.000533017,0.000533017,0.000533017
21,322.44,0.18904,0.35923,0.0681,0.95326,0.75172,0.82405,0.55389,0.39568,0.67123,0.12836,0.00048586,0.00048586,0.00048586
22,336.643,0.20836,0.37395,0.05424,0.94782,0.77647,0.84418,0.56967,0.39726,0.64674,0.12266,0.000438703,0.000438703,0.000438703
23,350.686,0.21283,0.35907,0.085,0.96577,0.79268,0.86886,0.59284,0.39019,0.76838,0.12684,0.000391546,0.000391546,0.000391546
24,364.958,0.22421,0.44043,0.07346,0.97699,0.86244,0.90964,0.63677,0.34893,0.54727,0.11615,0.000344389,0.000344389,0.000344389
25,379.404,0.1799,0.36315,0.06359,0.95124,0.81211,0.88596,0.62447,0.37523,0.635,0.12074,0.000297232,0.000297232,0.000297232
26,393.657,0.18122,0.34532,0.06714,0.91888,0.86244,0.89237,0.633,0.35194,0.6016,0.11361,0.000250075,0.000250075,0.000250075
27,407.838,0.1682,0.30895,0.05023,0.8948,0.86676,0.89911,0.63669,0.34156,0.66883,0.11342,0.000202918,0.000202918,0.000202918
28,421.985,0.18265,0.34107,0.06088,0.87207,0.85712,0.89225,0.62183,0.36779,0.61382,0.11913,0.000155761,0.000155761,0.000155761
29,436.129,0.15979,0.30945,0.06155,0.87443,0.8137,0.86126,0.60414,0.35236,0.62488,0.11457,0.000108604,0.000108604,0.000108604
30,450.39,0.1683,0.30804,0.06185,0.89097,0.83149,0.89369,0.63614,0.34183,0.60895,0.11264,6.1447e-05,6.1447e-05,6.1447e-05
