epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.334,0.61611,2.15883,0.25715,0.17627,0.16667,0.14057,0.12789,0.4381,1.72527,0.24327,0.00010003,0.00010003,0.00010003
2,75.0891,0.5197,1.04052,0.2242,0.94557,0.42188,0.4405,0.34562,0.47489,0.92639,0.24121,0.000210106,0.000210106,0.000210106
3,85.987,0.41866,0.99041,0.17068,0.83637,0.43707,0.46597,0.36057,0.419,0.78571,0.20057,0.000315655,0.000315655,0.000315655
4,96.1947,0.47935,0.74325,0.20909,0.97586,0.4375,0.5465,0.37525,0.41745,0.77667,0.20452,0.000416676,0.000416676,0.000416676
5,106.968,0.46212,0.71914,0.20728,0.84413,0.65441,0.70821,0.39386,0.51169,0.68111,0.25729,0.000513171,0.000513171,0.000513171
6,117.888,0.4332,0.68153,0.19643,0.7984,0.59177,0.76057,0.55834,0.32218,0.60289,0.15127,0.000605139,0.000605139,0.000605139
7,128.101,0.39051,0.63761,0.15737,0.85265,0.58375,0.69519,0.50795,0.36489,0.595,0.16843,0.000692579,0.000692579,0.000692579
8,138.215,0.40815,0.70064,0.17861,0.76506,0.74326,0.72592,0.52949,0.36866,0.58924,0.17879,0.000775493,0.000775493,0.000775493
9,148.266,0.37867,0.56357,0.15019,0.81597,0.80931,0.8019,0.55754,0.36935,0.55117,0.19001,0.000853879,0.000853879,0.000853879
10,157.856,0.34736,0.58655,0.15717,0.7966,0.8318,0.80393,0.50676,0.40612,0.53498,0.21395,0.000927738,0.000927738,0.000927738
11,168.362,0.34407,0.6283,0.14535,0.90712,0.74707,0.81993,0.65422,0.26495,0.49328,0.12766,0.00099707,0.00099707,0.00099707
12,178.902,0.39561,0.66352,0.1709,0.92398,0.82527,0.85635,0.61592,0.34905,0.51804,0.16476,0.00106188,0.00106188,0.00106188
13,188.539,0.36554,0.62225,0.14021,0.9359,0.79272,0.86644,0.61563,0.35428,0.50181,0.16286,0.00108947,0.00108947,0.00108947
14,198.634,0.40245,0.61836,0.17897,0.96162,0.8318,0.87301,0.63223,0.30464,0.55884,0.14292,0.00106118,0.00106118,0.00106118
15,208.948,0.40492,0.55259,0.16444,0.92939,0.79183,0.88623,0.60297,0.38485,0.59309,0.1858,0.00103288,0.00103288,0.00103288
16,218.595,0.40994,0.72665,0.14388,0.95626,0.85368,0.88239,0.66346,0.28255,0.48656,0.14445,0.00100459,0.00100459,0.00100459
17,229.112,0.36484,0.58935,0.14382,0.97315,0.82498,0.8964,0.68037,0.26089,0.46594,0.13706,0.000976293,0.000976293,0.000976293
18,239.193,0.39425,0.57169,0.16563,0.80766,0.83807,0.85553,0.58305,0.35069,0.54462,0.18328,0.000947999,0.000947999,0.000947999
19,249.024,0.35939,0.55604,0.14823,0.95867,0.83885,0.90136,0.65716,0.33171,0.46367,0.17778,0.000919704,0.000919704,0.000919704
20,257.5,0.35981,0.51354,0.12867,0.97412,0.84236,0.90461,0.66456,0.32738,0.44697,0.15542,0.00089141,0.00089141,0.00089141
21,267.099,0.33877,0.47401,0.14567,0.97156,0.84859,0.90113,0.70702,0.25802,0.41186,0.12291,0.000863116,0.000863116,0.000863116
22,276.803,0.34745,0.49644,0.1636,0.79584,0.81804,0.80002,0.60974,0.28158,0.54849,0.13444,0.000834822,0.000834822,0.000834822
23,286.866,0.33638,0.54564,0.13371,0.96018,0.8308,0.90336,0.66266,0.31592,0.43772,0.15022,0.000806528,0.000806528,0.000806528
